C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.001,balanced,1000,multinomial,l2,newton-cg,,0.7511068184902787,0.5371201914122866,0.787064741276876,0.4076612328712987,0.6735812522363261,0.7511068184902787,0.8419223632408738,0.7650458902028339,0.7511068184902787,0.7511068184902787,0.6834564161414217,0.7511068184902787,0.7760948063710909,0.8446224388608171,0.4289848272545578,0.6541891711955946
0.001,balanced,1000,multinomial,l2,lbfgs,,0.7511120702532298,0.5371209149038229,0.7870504289826153,0.4076659079231122,0.6735820492992336,0.7511120702532298,0.8419207053553225,0.7650435579668664,0.7511120702532298,0.7511120702532298,0.6834591847714417,0.7511120702532296,0.7760988696922219,0.8446226611679674,0.4289839246245645,0.6541915307979179
0.001,balanced,1000,multinomial,l2,sag,,0.7511068184902787,0.5371201914122866,0.787064741276876,0.4076612328712987,0.6735812522363261,0.7511068184902787,0.8419223632408738,0.7650458902028339,0.7511068184902787,0.7511068184902787,0.6834564161414217,0.7511068184902787,0.7760948063710909,0.8446224105556658,0.4289848272545578,0.6541891711955946
0.001,balanced,1000,multinomial,l2,saga,,0.7511120702532298,0.5371254235022119,0.787064741276876,0.4076672609024928,0.6735845147122234,0.7511120702532298,0.8419238749999556,0.7650491061384379,0.7511120702532298,0.7511120702532298,0.6834611344956384,0.7511120702532296,0.7760991995083509,0.8446225124583107,0.428991461182408,0.6541939922969531
0.001,balanced,10000,ovr,l2,newton-cg,,0.7490481129746254,0.5336341876573193,0.7825277968431187,0.4048632075806941,0.6715188782120253,0.7490481129746254,0.8403256960692883,0.7620264970301357,0.7490481129746254,0.7490481129746254,0.6809861787150452,0.7490481129746254,0.7742676022329474,0.8408518709737228,0.423992805956908,0.6515157805035
0.001,balanced,10000,ovr,l2,lbfgs,,0.7490586165625853,0.5336445874822405,0.7825277962286199,0.4048751497451224,0.6715253484262256,0.7490586165625853,0.8403287022309581,0.7620329285785813,0.7490586165625853,0.7490586165625853,0.6809955930196782,0.7490586165625853,0.7742763926916133,0.840851664261915,0.4240060090140023,0.6515253919121907
0.001,balanced,10000,ovr,l2,sag,,0.749055990670767,0.5336419799520439,0.7825277968431187,0.4048721667288351,0.6715237360232713,0.749055990670767,0.8403279575008881,0.7620313209257853,0.749055990670767,0.749055990670767,0.6809932346357214,0.7490559906707669,0.7742741919869628,0.8408518233352296,0.4240027139196644,0.6515229836989859
0.001,balanced,10000,ovr,l2,saga,,0.7490533647582623,0.5336393710632145,0.7825277968431187,0.4048691597298846,0.6715221067661399,0.7490533647582623,0.8403272004300854,0.7620297129502265,0.7490533647582623,0.7490533647582623,0.6809908787188883,0.7490533647582623,0.7742719962153135,0.8408518782912996,0.4239993994888809,0.6515205771877535
0.001,balanced,10000,multinomial,l2,newton-cg,,0.7511068184902787,0.5371201914122866,0.787064741276876,0.4076612328712987,0.6735812522363261,0.7511068184902787,0.8419223632408738,0.7650458902028339,0.7511068184902787,0.7511068184902787,0.6834564161414217,0.7511068184902787,0.7760948063710909,0.8446224388608171,0.4289848272545578,0.6541891711955946
0.001,balanced,10000,multinomial,l2,lbfgs,,0.7511120702532298,0.5371209149038229,0.7870504289826153,0.4076659079231122,0.6735820492992336,0.7511120702532298,0.8419207053553225,0.7650435579668664,0.7511120702532298,0.7511120702532298,0.6834591847714417,0.7511120702532296,0.7760988696922219,0.8446226611679674,0.4289839246245645,0.6541915307979179
0.001,balanced,10000,multinomial,l2,sag,,0.7511068184902787,0.5371201914122866,0.787064741276876,0.4076612328712987,0.6735812522363261,0.7511068184902787,0.8419223632408738,0.7650458902028339,0.7511068184902787,0.7511068184902787,0.6834564161414217,0.7511068184902787,0.7760948063710909,0.8446224105556658,0.4289848272545578,0.6541891711955946
0.001,balanced,10000,multinomial,l2,saga,,0.7511120702532298,0.5371254235022119,0.787064741276876,0.4076672609024928,0.6735845147122234,0.7511120702532298,0.8419238749999556,0.7650491061384379,0.7511120702532298,0.7511120702532298,0.6834611344956384,0.7511120702532296,0.7760991995083509,0.8446225124583107,0.428991461182408,0.6541939922969531
0.001,balanced,100000,ovr,l2,newton-cg,,0.7490481129746254,0.5336341876573193,0.7825277968431187,0.4048632075806941,0.6715188782120253,0.7490481129746254,0.8403256960692883,0.7620264970301357,0.7490481129746254,0.7490481129746254,0.6809861787150452,0.7490481129746254,0.7742676022329474,0.8408518709737228,0.423992805956908,0.6515157805035
0.001,balanced,100000,ovr,l2,lbfgs,,0.7490586165625853,0.5336445874822405,0.7825277962286199,0.4048751497451224,0.6715253484262256,0.7490586165625853,0.8403287022309581,0.7620329285785813,0.7490586165625853,0.7490586165625853,0.6809955930196782,0.7490586165625853,0.7742763926916133,0.840851664261915,0.4240060090140023,0.6515253919121907
0.001,balanced,100000,ovr,l2,sag,,0.749055990670767,0.5336419799520439,0.7825277968431187,0.4048721667288351,0.6715237360232713,0.749055990670767,0.8403279575008881,0.7620313209257853,0.749055990670767,0.749055990670767,0.6809932346357214,0.7490559906707669,0.7742741919869628,0.8408518233352296,0.4240027139196644,0.6515229836989859
0.001,balanced,100000,ovr,l2,saga,,0.7490533647582623,0.5336393710632145,0.7825277968431187,0.4048691597298846,0.6715221067661399,0.7490533647582623,0.8403272004300854,0.7620297129502265,0.7490533647582623,0.7490533647582623,0.6809908787188883,0.7490533647582623,0.7742719962153135,0.8408518782912996,0.4239993994888809,0.6515205771877535
