criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,12,log2,2,64,128,random,0.009321081418689562
gini,12,log2,2,128,128,best,0.007177659587298141
gini,12,log2,2,128,128,random,0.01799975378338207
gini,12,log2,2,256,128,best,0.00768082367790026
gini,12,log2,2,256,128,random,0.0015971623384114803
gini,12,log2,4,1,128,best,0.008255669633688926
gini,12,log2,4,1,128,random,0.011351304535946863
gini,12,log2,4,2,128,best,0.008255669633688926
gini,12,log2,4,2,128,random,0.011351304535946863
gini,12,log2,4,4,128,best,0.008255669633688926
gini,12,log2,4,4,128,random,0.011351304535946863
gini,12,log2,4,8,128,best,0.008255669633688926
gini,12,log2,4,8,128,random,0.011351304535946863
gini,12,log2,4,16,128,best,0.008059680129242514
gini,12,log2,4,16,128,random,0.020523635908251292
gini,12,log2,4,32,128,best,0.011210590640885865
gini,12,log2,4,32,128,random,0.006527639246220361
gini,12,log2,4,64,128,best,0.016676138655253234
gini,12,log2,4,64,128,random,0.005184514566979421
gini,12,log2,4,128,128,best,0.013182667348472864
gini,12,log2,4,128,128,random,0.00856044686927664
gini,12,log2,4,256,128,best,0.005425261459883941
gini,12,log2,4,256,128,random,0.004290039136496247
gini,12,log2,8,1,128,best,0.00873866634776749
gini,12,log2,8,1,128,random,0.01678769692599914
gini,12,log2,8,2,128,best,0.00873866634776749
gini,12,log2,8,2,128,random,0.01678769692599914
gini,12,log2,8,4,128,best,0.00873866634776749
gini,12,log2,8,4,128,random,0.01678769692599914
gini,12,log2,8,8,128,best,0.00873866634776749
gini,12,log2,8,8,128,random,0.01678769692599914
gini,12,log2,8,16,128,best,0.00873866634776749
gini,12,log2,8,16,128,random,0.01678769692599914
gini,12,log2,8,32,128,best,0.0074454896554307275
gini,12,log2,8,32,128,random,0.010368678159925681
gini,12,log2,8,64,128,best,0.012170562041703562
gini,12,log2,8,64,128,random,0.010578524455770654
gini,12,log2,8,128,128,best,0.0036247766986327993
gini,12,log2,8,128,128,random,0.009481000144528984
gini,12,log2,8,256,128,best,0.011259650313979434
gini,12,log2,8,256,128,random,0.003625651484251077
gini,12,log2,16,1,128,best,0.009006352357411068
gini,12,log2,16,1,128,random,0.007199849184376587
