splitter,random_state,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,MCC,F1,Cust_metric,F1_class_2
random,193,12,21,log2,20,gini,0.3429327230842973,0.4004503413064889,0.13753007558736627,0.007157325990894377
best,1,22,61,log2,12,gini,0.3053661686069082,0.37888564537010844,0.1268492813898662,0.0047570506286102624
best,65,22,81,sqrt,26,gini,0.3809982158351342,0.42031158108211764,0.14640064007293943,0.00991909910641807
random,1,22,41,sqrt,6,entropy,0.27386201573922314,0.34483967454463954,0.10473367080023799,0.0
random,129,12,41,sqrt,24,gini,0.37843787293418013,0.4225025998425807,0.15191351087713306,0.011495646963116092
random,65,32,81,sqrt,12,entropy,0.33959663312152316,0.3962742276203118,0.13414543069291837,0.0
best,1,2,31,log2,18,entropy,0.33001517604386454,0.40154379566052373,0.15128421968741834,0.019973768208775968
best,193,42,1,sqrt,26,entropy,0.3867216342643249,0.4465301517702418,0.20499180396368868,0.08434637772824267
random,129,32,71,log2,2,gini,0.07705697434994017,0.23765442336799728,0.0,0.0
random,129,52,51,sqrt,22,gini,0.37704721941282227,0.41926613926469664,0.14571844863230823,0.0
random,193,52,31,sqrt,4,gini,0.14762957767276355,0.2824253512247646,0.048679838553575806,0.0
random,1,62,71,sqrt,12,gini,0.3346322287402866,0.3915936758145939,0.12790130686723214,0.004293785310734463
best,65,12,91,sqrt,8,entropy,0.29442519731183653,0.3651170211942925,0.12346996438613694,0.004512126339537507
random,1,52,51,sqrt,10,gini,0.3142456474381934,0.3854413988378192,0.13609477877276807,0.005365526492287055
best,193,92,31,log2,24,entropy,0.3477853931504165,0.405793474494524,0.1431395057845608,0.013511369525560405
best,129,12,11,log2,,gini,0.3636152641139188,0.41963092418156656,0.15803880807071755,0.021947777352864115
random,65,2,61,sqrt,12,gini,0.336750397331355,0.3921913426931201,0.1300767196181016,0.0
best,129,62,21,sqrt,10,gini,0.3005783770192989,0.38726787191055595,0.1396277075392894,0.007651925322899556
random,1,62,21,sqrt,16,entropy,0.37217458541380416,0.4201308342694421,0.15674248489152406,0.017795303575898827
random,129,2,91,sqrt,16,entropy,0.357553143522561,0.40699128878844415,0.13743489817370447,0.0
best,129,92,21,log2,10,entropy,0.2351528484134965,0.33685955611997814,0.09937238672543414,0.0024884062888813484
random,129,12,31,log2,24,entropy,0.34567192387729223,0.40545090719384924,0.14407079636663095,0.01288210702328766
best,129,12,51,sqrt,,entropy,0.3817021671522845,0.4242159258643265,0.15414011081320692,0.009577958348964018
best,65,32,11,log2,20,entropy,0.35252751140877137,0.4075608000350597,0.1438287962031444,0.02597364386125184
random,129,52,41,sqrt,20,gini,0.3761235251463922,0.4235740893042308,0.15761893273593552,0.021102700653444995
random,193,62,81,log2,22,gini,0.34022897462997576,0.39256336833507194,0.11931910657002365,0.0
best,65,2,51,sqrt,12,entropy,0.37265809835370045,0.41182042930623064,0.13857934797661003,0.008795928997876347
best,193,32,21,log2,2,entropy,0.180733575934237,0.22765830520362473,0.0,0.0
random,1,22,11,log2,14,entropy,0.29505258228738035,0.375821084223759,0.13007435000888976,0.009141032587856217
best,193,62,31,sqrt,26,entropy,0.38602445324808077,0.42650475363182067,0.15616653305269726,0.010766898181840352
best,65,22,51,log2,2,entropy,0.018037268402013223,0.18748886272525075,0.0,0.0
best,129,32,1,sqrt,10,entropy,0.33667606377443066,0.4013837480741116,0.14131968566573816,0.016826737089643693
random,129,22,51,sqrt,24,entropy,0.3781592156578007,0.42031898406010737,0.147349719202278,0.003404834865509023
random,193,52,81,sqrt,4,gini,0.14762957767276355,0.2824253512247646,0.048679838553575806,0.0
best,65,22,21,sqrt,24,gini,0.39004247493822186,0.43498438388068633,0.1729693816490302,0.03693196236410486
best,65,82,1,log2,18,gini,0.35218836814412163,0.409708893223338,0.15032566004500383,0.04068915600172902
best,65,12,71,log2,24,gini,0.3294786012344217,0.38962820426358863,0.12104875033798213,0.0031670625494853526
best,193,42,71,sqrt,14,gini,0.3753842170055477,0.4133495509296539,0.13658859559164313,0.0
best,129,52,31,sqrt,14,entropy,0.36514365771677887,0.41450676293337924,0.15104292545726894,0.014526782617645942
best,193,72,31,sqrt,20,entropy,0.39332150502538005,0.43190955840251694,0.16396536380701732,0.02377624101990795
best,65,62,71,sqrt,22,entropy,0.38407535194718506,0.42350931860533986,0.1522312220422849,0.015628937236754247
random,1,22,41,log2,2,entropy,0.0356830404053492,0.15662837485854103,0.0,0.0
best,1,62,61,sqrt,10,gini,0.34512586568844755,0.3966082000066902,0.12688665825436907,0.006016042780748663
random,65,42,71,sqrt,24,entropy,0.3706466567628007,0.41637645854334954,0.1456440918623179,0.005853878194303726
random,193,2,91,log2,4,entropy,0.17316882579044912,0.25578674910661126,0.01594802066613143,0.0
best,65,42,41,log2,12,gini,0.3044483134711898,0.36475562264758743,0.09211558261826326,0.004267744833782569
random,193,12,41,sqrt,16,gini,0.331845367654703,0.3970026651963517,0.13215163433693147,0.01412648459861881
