colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,subsample,score
0.5,0,0.2,64,5,100,1.0,0.774394105737534
0.5,0,0.2,64,5,200,0.5,0.7646065289566063
0.5,0,0.2,64,5,200,0.7,0.7690005730328294
0.5,0,0.2,64,5,200,1.0,0.7710501960625594
0.5,0,0.2,64,10,50,0.5,0.7816264973714123
0.5,0,0.2,64,10,50,0.7,0.7835746468628478
0.5,0,0.2,64,10,50,1.0,0.7821293589849588
0.5,0,0.2,64,10,100,0.5,0.7766313543975699
0.5,0,0.2,64,10,100,0.7,0.7780959937382518
0.5,0,0.2,64,10,100,1.0,0.7777810210593822
0.5,0,0.2,64,10,200,0.5,0.7697831705543634
0.5,0,0.2,64,10,200,0.7,0.7726397953879771
0.5,0,0.2,64,10,200,1.0,0.7734163254396279
0.5,0.1,0.01,4,1,50,0.5,0.7570880051922768
0.5,0.1,0.01,4,1,50,0.7,0.7568259701116881
0.5,0.1,0.01,4,1,50,1.0,0.7575815467899544
0.5,0.1,0.01,4,1,100,0.5,0.7625255802706054
0.5,0.1,0.01,4,1,100,0.7,0.7617963739228814
0.5,0.1,0.01,4,1,100,1.0,0.7620055431000132
0.5,0.1,0.01,4,1,200,0.5,0.7673378128765785
0.5,0.1,0.01,4,1,200,0.7,0.7668969177803141
0.5,0.1,0.01,4,1,200,1.0,0.7672770675651109
0.5,0.1,0.01,4,5,50,0.5,0.7570548223893189
0.5,0.1,0.01,4,5,50,0.7,0.7568421759225363
0.5,0.1,0.01,4,5,50,1.0,0.7575520198968908
0.5,0.1,0.01,4,5,100,0.5,0.7625688126924169
0.5,0.1,0.01,4,5,100,0.7,0.7617373494209753
0.5,0.1,0.01,4,5,100,1.0,0.7619827912461453
0.5,0.1,0.01,4,5,200,0.5,0.7673157932014206
0.5,0.1,0.01,4,5,200,0.7,0.7669563080883867
0.5,0.1,0.01,4,5,200,1.0,0.7671464476894908
0.5,0.1,0.01,4,10,50,0.5,0.7570061240200499
0.5,0.1,0.01,4,10,50,0.7,0.7568806577975246
0.5,0.1,0.01,4,10,50,1.0,0.7575482659940329
0.5,0.1,0.01,4,10,100,0.5,0.7622839017207274
0.5,0.1,0.01,4,10,100,0.7,0.7617528346144304
0.5,0.1,0.01,4,10,100,1.0,0.7619292667898904
0.5,0.1,0.01,4,10,200,0.5,0.767255514612061
0.5,0.1,0.01,4,10,200,0.7,0.7669091419299364
0.5,0.1,0.01,4,10,200,1.0,0.7669506280140252
0.5,0.1,0.01,8,1,50,0.5,0.7755617504835218
0.5,0.1,0.01,8,1,50,0.7,0.7755851471686152
0.5,0.1,0.01,8,1,50,1.0,0.7748307714435693
0.5,0.1,0.01,8,1,100,0.5,0.7788149462059649
0.5,0.1,0.01,8,1,100,0.7,0.778735244579281
0.5,0.1,0.01,8,1,100,1.0,0.7785276824511765
0.5,0.1,0.01,8,1,200,0.5,0.7814435439643447
0.5,0.1,0.01,8,1,200,0.7,0.7817757339808679
0.5,0.1,0.01,8,1,200,1.0,0.7812360721809971
0.5,0.1,0.01,8,5,50,0.5,0.7748744771562536
0.5,0.1,0.01,8,5,50,0.7,0.7753970870606476
0.5,0.1,0.01,8,5,50,1.0,0.7748240936211889
0.5,0.1,0.01,8,5,100,0.5,0.7782208344479363
0.5,0.1,0.01,8,5,100,0.7,0.7783231869012962
0.5,0.1,0.01,8,5,100,1.0,0.7782976193092259
0.5,0.1,0.01,8,5,200,0.5,0.7807617562311671
0.5,0.1,0.01,8,5,200,0.7,0.7810138945319213
0.5,0.1,0.01,8,5,200,1.0,0.7809874293606721
0.5,0.1,0.01,8,10,50,0.5,0.7742843059374634
0.5,0.1,0.01,8,10,50,0.7,0.7749596376896514
0.5,0.1,0.01,8,10,50,1.0,0.7742825598705507
0.5,0.1,0.01,8,10,100,0.5,0.7774342759289737
0.5,0.1,0.01,8,10,100,0.7,0.7779211458298109
0.5,0.1,0.01,8,10,100,1.0,0.7780930557166513
0.5,0.1,0.01,8,10,200,0.5,0.7800998740993493
0.5,0.1,0.01,8,10,200,0.7,0.7806831917601326
0.5,0.1,0.01,8,10,200,1.0,0.7805153863999011
0.5,0.1,0.01,16,1,50,0.5,0.7833321578288995
0.5,0.1,0.01,16,1,50,0.7,0.7842490557876767
0.5,0.1,0.01,16,1,50,1.0,0.7843684430723182
0.5,0.1,0.01,16,1,100,0.5,0.7853964407909269
0.5,0.1,0.01,16,1,100,0.7,0.7859084406783886
0.5,0.1,0.01,16,1,100,1.0,0.7856921132565019
0.5,0.1,0.01,16,1,200,0.5,0.7873055452828707
0.5,0.1,0.01,16,1,200,0.7,0.7873169130039023
0.5,0.1,0.01,16,1,200,1.0,0.78691911988525
0.5,0.1,0.01,16,5,50,0.5,0.7819478237761576
0.5,0.1,0.01,16,5,50,0.7,0.7828401701215265
0.5,0.1,0.01,16,5,50,1.0,0.7829499211642025
0.5,0.1,0.01,16,5,100,0.5,0.7840386047685923
